episode_id,cult_refs_count,self_refs_count,goofs_count,errors_count
1,11,0,33,0
2,14,0,7,0
3,3,0,17,0
4,7,0,18,0
5,3,0,6,0
6,6,0,6,0
7,5,0,5,0
8,7,0,8,0
9,2,0,7,0
10,0,0,2,0
11,5,0,9,0
12,8,0,11,0
13,3,0,15,0
14,10,0,5,0
15,4,0,1,0
16,18,0,1,0
17,0,0,7,0
18,0,0,3,0
19,4,0,3,0
20,9,0,5,0
21,10,0,17,0
22,6,0,5,0
23,6,0,2,0
24,7,0,6,0
25,3,0,2,0
26,6,0,4,0
27,5,0,5,0
28,0,0,1,0
29,3,0,10,0
30,0,0,3,0
31,3,0,8,0
32,0,0,7,0
33,10,0,3,0
34,6,0,3,0
35,8,0,5,0
36,4,1,0,0
37,10,0,4,0
38,3,0,7,0
39,7,0,9,0
40,0,0,1,0
41,4,0,7,0
42,11,0,5,0
43,0,0,6,0
44,0,0,4,0
45,0,0,6,0
46,2,0,4,0
47,2,0,3,0
48,18,0,6,0
49,1,0,3,0
50,0,0,2,0
51,0,0,7,0
52,0,0,13,0
53,0,0,12,0
54,0,0,6,0
55,0,0,2,0
56,9,0,0,0
57,0,0,7,0
58,6,0,2,0
59,7,0,3,0
60,0,0,11,0
61,0,0,19,0
62,5,0,8,0
63,15,0,6,0
64,0,0,24,0
65,0,0,3,0
66,0,0,12,0
67,0,0,6,0
68,3,0,9,0
69,0,0,8,0
70,4,0,6,0
71,0,0,7,0
72,0,0,12,0
73,0,0,20,0
74,6,0,3,0
75,11,0,5,0
76,14,0,9,0
77,0,19,15,0
78,6,0,0,0
79,0,0,7,0
80,0,0,10,0
81,0,0,22,0
82,20,0,16,0
83,0,0,7,0
84,0,0,4,0
85,0,0,31,0
86,0,0,37,0
87,0,0,4,0
88,0,0,5,0
89,0,0,1,0
90,0,0,2,0
91,11,0,3,0
92,6,0,5,0
93,0,0,2,0
94,0,0,7,0
95,0,0,7,0
96,0,0,2,0
97,4,0,10,0
98,0,0,2,0
99,0,0,11,0
100,0,0,5,0
101,0,0,1,0
102,0,0,4,0
103,0,0,3,0
104,0,14,5,0
105,0,0,20,0
106,0,0,2,0
107,19,0,3,0
108,0,0,0,0
109,25,0,10,0
110,0,0,7,0
111,7,0,5,0
112,0,0,9,0
113,0,0,4,0
114,0,0,15,0
115,0,0,6,0
116,6,0,13,0
117,0,0,9,0
118,0,0,8,0
119,0,0,8,0
120,0,0,4,0
121,0,0,9,0
122,0,0,8,0
123,0,0,5,0
124,0,0,4,0
125,11,0,1,0
126,8,0,10,0
127,0,0,2,0
128,0,0,4,0
129,10,0,3,0
130,0,2,6,0
131,0,0,12,0
132,0,0,10,0
133,0,0,29,0
134,0,0,5,0
135,0,0,4,0
136,0,0,5,0
137,0,0,10,0
138,0,0,1,0
139,0,0,4,0
140,0,0,6,0
141,0,0,36,0
142,2,8,2,0
143,7,0,6,0
144,0,0,5,0
145,2,0,8,0
146,0,0,6,0
147,0,0,3,0
148,6,0,7,0
149,9,0,11,0
150,1,0,6,0
151,0,0,14,0
152,0,0,6,0
153,3,0,6,0
154,0,0,11,0
155,4,0,26,0
156,11,0,6,0
157,4,0,9,0
158,10,0,8,0
159,6,7,8,8
160,5,0,11,0
161,7,0,7,0
162,10,0,5,0
163,10,0,10,0
164,7,0,5,0
165,4,0,4,0
166,9,0,13,0
167,6,0,4,0
168,9,0,15,0
169,0,0,8,0
170,2,0,10,0
171,6,0,8,0
172,2,0,5,0
173,7,0,8,0
174,7,0,8,0
175,2,0,10,0
176,2,0,14,0
177,7,0,9,0
178,0,0,8,0
179,13,0,12,0
180,6,0,2,0
181,12,0,7,0
182,28,0,3,0
183,4,0,6,0
184,0,0,9,0
185,4,0,4,0
186,5,0,11,0
187,5,0,11,0
188,4,0,9,0
189,0,0,3,0
190,0,8,4,0
191,12,14,8,0
192,9,0,11,0
193,4,0,8,0
194,10,3,7,0
195,8,0,12,0
196,0,6,5,0
197,18,0,6,0
198,6,9,13,0
199,2,0,5,0
200,8,0,5,0
201,2,0,5,0
202,9,5,6,0
203,6,0,8,0
204,4,0,5,0
205,5,0,2,0
206,3,0,0,0
207,16,0,9,0
208,12,0,5,0
209,21,0,1,0
210,5,0,11,0
211,7,0,12,0
212,16,0,5,0
213,9,0,6,0
214,10,0,11,0
215,8,0,8,0
216,7,5,3,0
217,11,0,2,0
218,6,0,10,0
219,7,0,2,0
220,13,0,5,0
221,7,11,7,0
222,0,0,3,0
223,5,0,5,0
224,6,0,3,0
225,7,10,6,0
226,14,0,5,0
227,16,0,6,0
228,20,0,7,0
229,8,0,4,0
230,0,0,7,0
231,15,0,7,0
232,14,12,6,0
233,6,0,8,0
234,19,0,2,0
235,11,0,1,0
236,8,0,3,0
237,4,0,6,0
238,13,0,6,0
239,1,0,1,0
240,6,0,9,0
241,9,0,4,0
242,0,0,11,0
243,2,0,5,0
244,5,0,7,0
245,8,0,6,0
246,10,0,6,0
247,6,0,10,0
248,43,0,2,0
249,21,0,4,0
250,14,0,3,0
251,9,0,4,0
252,4,0,3,0
253,10,0,4,0
254,3,0,8,0
255,4,0,5,0
256,6,0,10,0
257,24,10,1,0
258,4,0,5,0
259,12,0,6,0
260,7,0,2,0
261,10,0,3,0
262,6,18,7,0
263,8,8,6,0
264,5,14,7,0
265,4,0,7,0
266,9,6,8,0
267,5,0,7,0
268,8,0,5,0
269,0,0,6,0
270,37,7,0,0
271,5,0,11,0
272,5,0,4,0
273,11,0,14,0
274,2,1,10,0
275,12,0,7,0
276,0,0,5,0
277,10,9,4,0
278,8,0,4,0
279,8,0,2,0
280,15,0,4,0
281,12,0,4,0
282,12,0,5,0
283,4,0,4,0
284,20,0,7,0
285,11,0,1,0
286,7,31,13,0
287,16,0,11,0
288,12,0,6,0
289,0,0,5,0
290,6,0,11,0
291,9,0,11,0
292,0,0,3,0
293,3,0,7,0
294,0,0,8,0
295,5,0,2,0
296,12,0,2,0
297,0,0,5,0
298,19,0,3,0
299,0,0,6,0
300,6,0,7,0
301,1,0,5,0
302,9,0,3,0
303,12,0,4,0
304,7,0,6,0
305,6,0,9,0
306,14,5,3,0
307,0,0,3,0
308,6,0,3,0
309,8,0,6,0
310,7,0,0,0
311,6,0,4,0
312,6,0,1,0
313,3,0,0,0
314,22,0,7,0
315,7,0,3,0
316,7,0,10,0
317,27,0,24,0
318,9,0,4,0
319,10,0,3,0
320,7,0,3,0
321,11,0,4,0
322,6,0,3,0
323,7,0,0,0
324,12,0,3,0
325,12,0,5,0
326,2,0,20,0
327,23,0,3,0
328,9,0,4,0
329,12,0,5,0
330,7,0,10,0
331,5,0,8,0
332,8,0,1,0
333,9,0,9,0
334,6,0,16,0
335,8,0,5,0
336,21,9,10,0
337,6,0,2,0
338,3,0,3,0
339,6,0,2,0
340,7,0,2,0
341,13,0,6,0
342,8,0,10,0
343,8,0,6,0
344,6,0,5,0
345,13,0,6,0
346,10,7,5,0
347,4,0,2,0
348,3,9,7,0
349,14,0,0,0
350,7,0,11,0
351,2,0,18,0
352,10,8,4,0
353,11,0,13,0
354,14,0,7,0
355,5,0,7,0
356,6,0,4,0
357,0,0,9,0
358,12,0,0,0
359,5,0,8,0
360,18,0,1,0
361,5,0,1,0
362,9,0,2,2
363,10,0,8,0
364,20,0,10,0
365,3,0,1,0
366,1,0,3,0
367,4,0,9,0
368,4,0,0,0
369,6,0,3,0
370,13,0,2,0
371,6,0,1,0
372,8,0,4,0
373,12,0,6,0
374,12,0,2,0
375,17,0,5,0
376,7,0,5,0
377,9,0,5,0
378,0,0,0,0
379,23,0,10,0
380,9,0,0,0
381,14,0,5,0
382,0,5,0,2
383,13,0,1,0
384,10,0,4,0
385,0,0,4,0
386,10,0,1,0
387,6,0,6,0
388,4,0,1,0
389,8,0,3,0
390,0,0,4,0
391,0,0,6,0
392,9,0,2,0
393,8,0,0,0
394,6,0,4,0
395,10,0,9,0
396,11,0,15,0
397,14,0,3,0
398,6,0,6,0
399,3,0,5,0
400,7,0,2,0
401,6,0,2,0
402,12,0,5,0
403,9,0,4,0
404,10,0,11,0
405,10,0,6,0
406,7,0,3,0
407,30,0,2,0
408,12,0,8,0
409,0,0,0,0
410,0,0,0,0
411,12,0,0,0
412,9,0,0,0
413,5,0,3,0
414,11,0,2,0
415,11,0,4,0
416,5,0,3,0
417,6,0,0,0
418,6,0,0,0
419,5,0,5,0
420,10,0,3,0
421,11,0,2,0
422,15,0,1,0
423,9,0,4,0
424,11,11,4,0
425,3,0,4,0
426,0,0,0,0
427,11,0,7,0
428,7,0,1,0
429,8,0,6,0
430,2,0,5,0
431,43,0,4,0
432,2,0,0,0
433,21,0,3,0
434,14,0,0,0
435,6,0,0,0
436,7,0,2,0
437,7,0,2,0
438,2,0,6,0
439,9,0,2,0
440,0,0,1,0
441,16,0,6,0
442,0,0,1,0
443,6,0,8,0
444,8,0,9,0
445,12,0,4,0
446,10,0,0,0
447,3,0,8,0
448,7,0,6,0
449,12,5,5,0
450,3,0,2,0
451,4,0,5,0
452,7,0,2,0
453,5,0,2,0
454,7,0,5,0
455,7,0,7,0
456,23,0,8,0
457,10,0,2,1
458,5,0,0,0
459,5,0,1,0
460,11,0,5,0
461,9,0,13,0
462,9,0,8,0
463,10,0,7,0
464,6,0,3,0
465,19,0,7,0
466,3,0,6,0
467,9,0,3,0
468,15,0,4,0
469,14,0,2,0
470,14,0,8,0
471,4,0,4,0
472,10,0,4,0
473,3,0,2,0
474,0,0,3,0
475,16,0,2,0
476,12,0,1,0
477,7,0,2,0
478,21,0,4,0
479,9,0,0,0
480,7,0,1,0
481,9,0,1,0
482,11,0,14,0
483,0,0,2,0
484,5,0,13,0
485,3,0,1,0
486,3,0,3,0
487,8,0,0,0
488,9,0,10,0
489,13,10,0,0
490,13,0,3,0
491,6,0,4,0
492,19,0,7,0
493,7,0,5,0
494,18,0,8,0
495,17,0,10,0
496,11,0,3,0
497,11,0,4,0
498,0,0,0,0
499,10,0,2,0
500,4,10,2,0
501,13,0,3,0
502,13,0,2,0
503,20,0,3,0
504,10,0,6,0
505,10,0,10,0
506,0,0,2,0
507,0,0,11,2
508,7,0,1,0
509,10,0,4,0
510,10,20,17,0
511,8,0,8,0
512,8,0,3,0
513,5,0,5,0
514,7,1,6,0
515,11,0,0,0
516,0,0,4,0
517,9,0,0,0
518,9,0,4,0
519,0,0,0,0
520,9,0,0,0
521,0,0,2,0
522,3,0,0,0
523,1,0,2,0
524,0,0,1,0
525,6,0,3,0
526,17,0,4,0
527,0,0,2,0
528,6,0,1,0
529,0,0,5,0
530,4,0,5,0
531,0,0,2,0
532,40,0,2,0
533,3,0,4,0
534,5,0,4,0
535,0,0,1,0
536,0,0,2,0
537,11,0,1,0
538,0,0,0,5
539,19,0,4,0
540,17,0,3,0
541,11,0,0,0
542,0,0,8,0
543,6,0,0,0
544,5,0,3,0
545,3,0,0,0
546,0,0,3,0
547,10,0,3,0
548,15,0,3,0
549,10,0,3,0
550,0,0,4,0
551,0,0,4,0
552,5,0,3,0
553,1,0,3,0
554,0,0,2,0
555,6,0,4,0
556,28,0,4,0
557,4,0,1,0
558,0,0,5,0
559,5,0,2,0
560,0,0,2,0
561,19,0,2,0
562,13,0,3,0
563,0,0,2,0
564,6,0,0,0
565,7,0,9,0
566,8,0,0,0
567,0,0,2,0
568,4,0,5,0
569,9,0,2,0
570,2,0,5,0
571,0,0,5,0
572,3,0,3,0
573,6,0,0,3
574,5,0,1,0
575,5,0,1,0
576,7,22,2,0
577,4,0,2,0
578,7,0,6,0
579,17,0,7,0
580,5,0,4,0
581,9,0,2,0
582,9,0,2,0
583,3,0,4,0
584,9,0,3,0
585,9,0,3,0
586,6,0,6,0
587,6,0,1,0
588,6,0,3,0
589,5,0,5,0
590,6,0,3,0
591,9,0,4,0
592,7,0,4,0
593,8,0,2,0
594,5,0,4,0
595,5,0,6,0
596,2,0,4,0
597,11,0,7,0
598,8,0,3,0
599,25,0,3,0
600,18,0,9,0
601,13,0,3,0
602,6,0,7,0
603,9,0,3,0
604,6,0,2,0
605,5,0,3,0
606,5,0,6,0
607,5,0,1,0
608,3,0,2,0
609,6,0,4,0
610,10,0,2,0
611,15,0,5,0
612,6,0,2,0
613,3,0,1,0
614,4,0,0,0
615,2,0,2,0
616,5,0,1,0
617,1,0,0,0
